address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
"101, 2nd Stage, Marathahalli, Bangalore",Grand Restaurant 26,No,No,4.6/5,70,080 48502259,Marathahalli,Dessert Parlor,"Burgers, Idli, Butter Chicken, Filter Coffee","Fast Food, Italian",400
"48, 2nd Stage, BTM, Bangalore",Grand Cafe 27,Yes,No,3.4/5,152,080 41536128,BTM,Bar,"Pizza, Thali","Desserts, Fast Food, Mughlai",550
"29, 1st Block, Indiranagar, Bangalore",Curry Hub 28,No,No,4.2/5,322,080 46509478,Indiranagar,Delivery,"Tandoori Chicken, Sandwiches, Chocolate Brownie, Cold Coffee","Fast Food, Beverages, North Indian",450
"111, 2nd Stage, Koramangala, Bangalore",Punjabi Kitchen 29,No,Yes,3.4/5,11,080 46375886,Koramangala,Casual Dining,"Gulab Jamun, Tandoori Chicken","Continental, BBQ, Beverages",850
"183, 2nd Stage, HSR Layout, Bangalore",Punjabi Junction 30,Yes,No,3.6/5,79,080 49982059,HSR Layout,Bar,,"Andhra, Mughlai, Biryani",800
"130, Ring Road, Whitefield, Bangalore",Punjabi Adda 31,No,Yes,4.4/5,231,080 47614324,Whitefield,Quick Bites,"Tandoori Chicken, Rolls",Cafe Food,250
"9, 1st Block, Electronic City, Bangalore",Blue Hub 32,Yes,No,4.0/5,636,080 42977772,Electronic City,Cafe,Masala Dosa,"Japanese, South Indian",550
"148, 2nd Stage, Bellandur, Bangalore",Classic Bites 33,Yes,No,3.5/5,36,080 48654564,Bellandur,Casual Dining,"Noodles, Gulab Jamun, Thali, Idli","Japanese, Italian",700
"177, Ring Road, BTM, Bangalore",Spice Bar & Grill 34,No,Yes,4.7/5,11,080 45496651,BTM,Cafe,"Butter Chicken, Filter Coffee, Pasta, Noodles","Biryani, Japanese, Street Food",350
"111, Main Road, Indiranagar, Bangalore",Classic Villa 35,Yes,No,3.8/5,145,080 42019790,Indiranagar,Quick Bites,"Momos, Thali, Biryani","Chinese, Japanese, Thai",350
"65, Main Road, Electronic City, Bangalore",Spice Kitchen 36,Yes,No,4.1/5,129,080 42996956,Electronic City,Delivery,"Paneer Butter Masala, Filter Coffee, Pasta","Beverages, Continental",450
"28, Main Road, Whitefield, Bangalore",Green Kitchen 37,No,No,4.3/5,135,080 44329724,Whitefield,Cafe,"Pizza, Momos, Filter Coffee, Thali","Italian, Mexican",450
"1, Cross, Jayanagar, Bangalore",Royal House 38,Yes,Yes,-,90,080 41514845,Jayanagar,Cafe,Butter Chicken,"Beverages, South Indian, Biryani",400
"97, Main Road, Whitefield, Bangalore",Spice Corner 39,No,No,3.8/5,88,080 49303845,Whitefield,Bakery,,"Continental, Fast Food",200
"124, 1st Block, Sarjapur Road, Bangalore",Spice Junction 40,Yes,Yes,3.8/5,399,080 45332509,Sarjapur Road,Casual Dining,"Paneer Butter Masala, Rolls, Gulab Jamun",South Indian,300
"172, Main Road, JP Nagar, Bangalore",South Side Corner 41,Yes,No,-,277,080 40781083,JP Nagar,Kiosk,"Noodles, Momos",Chinese,250
"1, Ring Road, Electronic City, Bangalore",The Villa 42,No,No,3.7/5,74,080 42649881,Electronic City,Quick Bites,Thali,Chinese,350
"167, Cross, Marathahalli, Bangalore",Grand Villa 43,Yes,Yes,4.1/5,267,080 48738884,Marathahalli,Delivery,"Chicken Wings, Filter Coffee, Paneer Butter Masala",Desserts,450
"192, Cross, Marathahalli, Bangalore",Spice Cafe 44,No,No,3.8/5,132,080 43596503,Marathahalli,Bakery,"Burgers, Pizza, Chicken Wings","North Indian, Japanese, Desserts",350
"91, Main Road, Electronic City, Bangalore",Red Express 45,Yes,No,3.8/5,71,080 47436002,Electronic City,Bar,"Sandwiches, Rolls, Biryani, Idli","South Indian, Bakery, Street Food","1,400"
"33, Cross, HSR Layout, Bangalore",South Side Express 46,Yes,No,3.8/5,133,080 43322595,HSR Layout,Delivery,"Gulab Jamun, Pizza",Beverages,350
"176, Main Road, Sarjapur Road, Bangalore",Green Adda 47,Yes,No,3.5/5,193,080 44955065,Sarjapur Road,Quick Bites,"Biryani, Cold Coffee, Waffles",Desserts,300
"32, Main Road, Hebbal, Bangalore",Red Adda 48,No,Yes,3.7/5,97,080 44543334,Hebbal,Kiosk,Pasta,"Japanese, Chinese",200
"130, 1st Block, Electronic City, Bangalore",Classic Express 49,Yes,No,3.4/5,60,080 41794920,Electronic City,Bakery,Noodles,Cafe Food,350
"107, Ring Road, HSR Layout, Bangalore",Curry Corner 50,Yes,No,3.8/5,219,080 43932827,HSR Layout,Cafe,"Rolls, Thali",Chinese,400
"163, 2nd Stage, Koramangala, Bangalore",Red Point 51,Yes,No,4.1/5,286,,Koramangala,Delivery,"Rolls, Butter Chicken, Noodles, Chicken Wings","North Indian, Biryani, Andhra",500
"92, 2nd Stage, HSR Layout, Bangalore",Royal Restaurant 52,No,No,3.7/5,81,080 43975211,HSR Layout,Bakery,"Pasta, Sandwiches, Thali","Mexican, Andhra",350
"56, Ring Road, Electronic City, Bangalore",Spice Junction 53,No,No,3.9/5,238,080 47496185,Electronic City,Cafe,"Rolls, Butter Chicken, Waffles, Paneer Butter Masala","South Indian, Desserts",300
"19, Cross, Electronic City, Bangalore",South Side Junction 54,Yes,No,3.7/5,191,080 48272337,Electronic City,Quick Bites,"Pasta, Butter Chicken","Desserts, Andhra",400
"148, Cross, Bellandur, Bangalore",Blue Cafe 55,Yes,No,4.1/5,152,080 49103268,Bellandur,Bar,Waffles,Continental,950
"170, Cross, MG Road, Bangalore",Green Bar & Grill 56,No,No,3.5/5,200,080 48473115,MG Road,Quick Bites,Waffles,"Mughlai, Street Food",300
"73, 1st Block, Sarjapur Road, Bangalore",Green Hub 57,No,No,4.6/5,868,080 45859613,Sarjapur Road,Food Court,"Pasta, Noodles, Chocolate Brownie, Filter Coffee",,350
"196, 2nd Stage, HSR Layout, Bangalore",Royal Bites 58,No,Yes,4.3/5,89,080 42896388,HSR Layout,Bakery,"Filter Coffee, Sandwiches","Beverages, Chinese, Bakery",200
"136, 2nd Stage, Koramangala, Bangalore",Green Bar & Grill 59,Yes,No,4.1/5,350,080 40951990,Koramangala,Fine Dining,"Thali, Paneer Butter Masala, Waffles",Mughlai,"1,600"
"20, Cross, MG Road, Bangalore",Spice Restaurant 60,No,No,3.7/5,161,080 49157310,MG Road,Quick Bites,,"Cafe Food, Andhra, Thai",500
"9, Main Road, Bellandur, Bangalore",Café Bites 61,No,No,3.6/5,19,080 48191997,Bellandur,Casual Dining,Rolls,Biryani,600
"80, 2nd Stage, Electronic City, Bangalore",Local Corner 62,Yes,No,4.3/5,283,080 40611285,Electronic City,Cafe,Tandoori Chicken,"Continental, Street Food",600
"106, Main Road, Yelahanka, Bangalore",Punjabi Bites 63,Yes,No,4.7/5,83,080 40265777,Yelahanka,Bar,"Idli, Pizza","Desserts, Street Food",600
"179, 2nd Stage, Malleshwaram, Bangalore",Punjabi House 64,Yes,No,4.2/5,364,080 45981431,Malleshwaram,Delivery,"Thali, Paneer Butter Masala",Mughlai,250
"130, Ring Road, BTM, Bangalore",Urban Kitchen 65,Yes,No,4.0/5,57,080 41346920,BTM,Casual Dining,Biryani,"Bakery, Fast Food",500
"105, Main Road, JP Nagar, Bangalore",Local Kitchen 66,No,No,NEW,66,080 46919887,JP Nagar,Casual Dining,Tandoori Chicken,"Bakery, BBQ, South Indian",300
"44, Main Road, Bellandur, Bangalore",The Diner 67,No,No,3.5/5,214,080 43210855,Bellandur,Casual Dining,"Butter Chicken, Masala Dosa",Mughlai,300
"76, 1st Block, Whitefield, Bangalore",Royal Cafe 68,No,No,3.5/5,100,080 40705203,Whitefield,Delivery,"Thali, Momos","Andhra, Fast Food, Biryani",550
"187, 2nd Stage, Electronic City, Bangalore",Golden Adda 69,No,No,-,519,080 40385419,Electronic City,Quick Bites,"Thali, Filter Coffee, Tandoori Chicken","Beverages, Continental",500
"193, Main Road, Jayanagar, Bangalore",Local Point 70,No,No,3.1/5,139,080 42407114,Jayanagar,Casual Dining,Chocolate Brownie,"Mexican, Japanese, Biryani",700
"141, Cross, Koramangala, Bangalore",Local Restaurant 71,Yes,No,-,5,080 42843971,Koramangala,Fine Dining,"Waffles, Gulab Jamun, Cold Coffee","Beverages, BBQ","2,100"
"189, Main Road, Koramangala, Bangalore",Curry Bites 72,Yes,No,3.9/5,249,080 45120519,Koramangala,Delivery,"Rolls, Momos, Chicken Wings",North Indian,500
"62, Ring Road, MG Road, Bangalore",Green Kitchen 73,Yes,Yes,4.2/5,814,080 40451147,MG Road,Cafe,"Pasta, Rolls, Chocolate Brownie",Continental,350
"173, Main Road, Marathahalli, Bangalore",South Side Bistro 74,Yes,No,3.5/5,147,080 46739376,Marathahalli,Food Court,Biryani,"South Indian, Japanese, Cafe Food",400
"114, 2nd Stage, Bellandur, Bangalore",Red Bistro 75,Yes,No,3.9/5,176,080 40774360,Bellandur,Delivery,,"Continental, Japanese, Cafe Food",350
"114, Cross, Koramangala, Bangalore",Classic Adda 76,Yes,No,3.7/5,154,080 41485940,Koramangala,Sweet Shop,Chicken Wings,"Thai, BBQ",300
"85, Main Road, Rajajinagar, Bangalore",Spice Express 77,Yes,Yes,4.3/5,391,080 45404766,Rajajinagar,Pub,Masala Dosa,Desserts,"1,200"
"118, Cross, Banashankari, Bangalore",Urban Diner 78,No,No,3.4/5,139,080 47339362,Banashankari,Casual Dining,"Sandwiches, Butter Chicken, Thali","South Indian, Desserts, Beverages",650
"120, 1st Block, Jayanagar, Bangalore",The Adda 79,No,No,4.1/5,214,080 43709122,Jayanagar,Casual Dining,"Idli, Noodles, Waffles","Japanese, Street Food, Andhra","1,000"
"176, 2nd Stage, Electronic City, Bangalore",Blue Adda 80,Yes,No,3.4/5,176,080 41890535,Electronic City,Casual Dining,"Chicken Wings, Pizza, Masala Dosa, Pasta",Andhra,600
"88, Ring Road, Indiranagar, Bangalore",Spice Corner 81,Yes,No,4.1/5,254,080 44482405,Indiranagar,Quick Bites,Cold Coffee,"Bakery, Mexican",250
"100, 2nd Stage, Indiranagar, Bangalore",Punjabi Restaurant 82,Yes,No,3.9/5,23,080 43649589,Indiranagar,Bakery,Waffles,"North Indian, Chinese",450
"40, 2nd Stage, Bellandur, Bangalore",South Side Point 83,Yes,Yes,3.7/5,252,080 42251776,Bellandur,Cafe,"Waffles, Masala Dosa","Desserts, Mughlai",550
"136, 2nd Stage, Whitefield, Bangalore",Spice Cafe 84,No,No,3.6/5,268,080 40031487,Whitefield,Quick Bites,"Butter Chicken, Idli, Sandwiches","Fast Food, BBQ",400
"168, Cross, MG Road, Bangalore",Golden Cafe 85,Yes,No,NEW,336,080 48351257,MG Road,Fine Dining,,Biryani,"1,650"
"196, Main Road, Marathahalli, Bangalore",Curry House 86,Yes,No,3.7/5,83,080 41342627,Marathahalli,Fine Dining,"Gulab Jamun, Chocolate Brownie, Noodles","Chinese, Bakery","2,000"
"24, Cross, Koramangala, Bangalore",Grand Bar & Grill 87,Yes,No,3.8/5,232,080 42741343,Koramangala,Cafe,"Noodles, Pasta",Cafe Food,550
"124, 1st Block, Whitefield, Bangalore",Blue Corner 88,Yes,No,4.7/5,432,080 40989639,Whitefield,Casual Dining,"Sandwiches, Paneer Butter Masala, Tandoori Chicken","Chinese, Andhra",700
"166, 2nd Stage, Rajajinagar, Bangalore",Blue Adda 89,No,No,4.2/5,208,080 43951017,Rajajinagar,Cafe,Sandwiches,"Bakery, Street Food, Chinese",300
"157, 2nd Stage, Koramangala, Bangalore",Golden Adda 90,No,No,3.7/5,110,080 45165714,Koramangala,Bakery,Pasta,"BBQ, Mexican, Chinese",350
"163, Ring Road, JP Nagar, Bangalore",Curry Cafe 91,No,Yes,NEW,128,080 43482758,JP Nagar,Delivery,,Desserts,300
"142, Main Road, Indiranagar, Bangalore",Punjabi House 92,No,No,3.3/5,136,080 44425623,Indiranagar,Bar,"Paneer Butter Masala, Momos",Continental,"1,100"
"58, Cross, Koramangala, Bangalore",Golden House 93,No,No,3.7/5,220,080 41691346,Koramangala,Bar,Tandoori Chicken,"Beverages, Japanese",750
"94, Main Road, Koramangala, Bangalore",Spice Bar & Grill 94,Yes,No,3.7/5,195,080 41678578,Koramangala,Fine Dining,"Idli, Butter Chicken",Street Food,"1,550"
"57, 2nd Stage, HSR Layout, Bangalore",Classic Corner 95,No,Yes,3.8/5,373,080 45542855,HSR Layout,Delivery,"Pasta, Waffles, Filter Coffee, Biryani",Thai,350
"95, 1st Block, MG Road, Bangalore",Grand Point 96,Yes,No,4.2/5,1027,080 49609224,MG Road,Casual Dining,"Chocolate Brownie, Paneer Butter Masala","BBQ, South Indian",500
"117, Main Road, Electronic City, Bangalore",Café Adda 97,Yes,No,4.2/5,426,080 40951875,Electronic City,Casual Dining,,"Japanese, Desserts",850
"100, Main Road, Koramangala, Bangalore",Blue Hub 98,Yes,No,3.3/5,143,080 49444762,Koramangala,Pub,Waffles,Fast Food,900
"90, Ring Road, Indiranagar, Bangalore",Local Junction 99,No,No,3.6/5,455,080 49856210,Indiranagar,Delivery,"Waffles, Cold Coffee, Pasta",South Indian,350
"152, Ring Road, Marathahalli, Bangalore",Café House 100,No,No,NEW,369,080 41048188,Marathahalli,Cafe,Cold Coffee,"Biryani, Street Food, Andhra",500
"110, Main Road, BTM, Bangalore",South Side Corner 101,Yes,Yes,3.7/5,52,080 40110166,BTM,Casual Dining,"Biryani, Momos, Tandoori Chicken, Butter Chicken",North Indian,700
"88, 1st Block, Electronic City, Bangalore",Punjabi Restaurant 102,No,No,4.2/5,39,080 43253937,Electronic City,Delivery,"Pizza, Burgers","Japanese, Fast Food",550
"61, Ring Road, Jayanagar, Bangalore",Classic Adda 103,Yes,Yes,-,75,080 40178609,Jayanagar,Delivery,"Filter Coffee, Waffles","Beverages, Andhra, Continental",350
"169, 1st Block, Yelahanka, Bangalore",Grand Point 104,Yes,No,3.7/5,119,080 41834147,Yelahanka,Delivery,"Burgers, Waffles, Biryani",Street Food,100
"108, Main Road, Koramangala, Bangalore",Red Villa 105,Yes,No,3.6/5,69,080 49873125,Koramangala,Casual Dining,,"South Indian, Bakery, Desserts",650
"137, Main Road, Electronic City, Bangalore",The Bites 106,Yes,No,3.9/5,159,080 41870856,Electronic City,Quick Bites,"Pasta, Masala Dosa, Butter Chicken","Fast Food, Thai, Desserts",250
"2, Cross, Indiranagar, Bangalore",Spice Kitchen 107,No,No,4.1/5,557,080 48103024,Indiranagar,Casual Dining,Gulab Jamun,"Fast Food, Street Food",700
"9, Cross, Whitefield, Bangalore",Curry Adda 108,No,No,4.0/5,214,080 47371249,Whitefield,Casual Dining,"Filter Coffee, Pasta, Waffles",,800
"2, Ring Road, Whitefield, Bangalore",Local Bites 109,Yes,No,4.2/5,561,080 44236550,Whitefield,Bar,"Paneer Butter Masala, Biryani","BBQ, Chinese","1,000"
"136, 1st Block, Whitefield, Bangalore",Spice Restaurant 110,No,No,3.6/5,133,080 47143659,Whitefield,Quick Bites,"Filter Coffee, Pizza",Mughlai,450
"181, Ring Road, Jayanagar, Bangalore",Curry Express 111,No,No,4.2/5,344,080 48069441,Jayanagar,Quick Bites,"Idli, Noodles, Tandoori Chicken, Cold Coffee","Continental, Italian",250
"39, Ring Road, Koramangala, Bangalore",Golden Villa 112,Yes,Yes,3.6/5,171,080 42729555,Koramangala,Cafe,"Pasta, Tandoori Chicken, Momos, Cold Coffee","Biryani, Beverages",550
"25, 2nd Stage, Koramangala, Bangalore",Royal Point 113,No,No,3.8/5,117,080 44343492,Koramangala,Bakery,"Tandoori Chicken, Burgers, Rolls",North Indian,300
"85, Main Road, Bellandur, Bangalore",Classic Point 114,No,Yes,4.1/5,100,080 48504797,Bellandur,Casual Dining,"Rolls, Paneer Butter Masala, Butter Chicken, Filter Coffee","Bakery, Japanese, Mexican",500
"34, Main Road, Whitefield, Bangalore",Urban Hub 115,Yes,Yes,4.9/5,415,080 48381364,Whitefield,Quick Bites,"Paneer Butter Masala, Idli, Rolls","Andhra, Biryani",400
"24, Cross, Basavanagudi, Bangalore",Local Bites 116,Yes,No,4.1/5,383,080 43790263,Basavanagudi,Casual Dining,"Cold Coffee, Biryani",South Indian,500
"131, Ring Road, Whitefield, Bangalore",South Side Bar & Grill 117,Yes,No,4.5/5,315,080 49296320,Whitefield,Casual Dining,"Sandwiches, Masala Dosa",Andhra,850
"74, Ring Road, Sarjapur Road, Bangalore",Café Restaurant 118,No,Yes,3.7/5,239,080 49387015,Sarjapur Road,Quick Bites,"Pizza, Rolls, Tandoori Chicken, Noodles","North Indian, Chinese",550
"70, Main Road, Koramangala, Bangalore",Café Cafe 119,No,No,4.1/5,214,080 47936725,Koramangala,Quick Bites,"Pasta, Rolls, Masala Dosa","Italian, Biryani",350
"111, 2nd Stage, Marathahalli, Bangalore",Urban Restaurant 120,No,No,3.8/5,215,080 40990385,Marathahalli,Casual Dining,"Rolls, Sandwiches, Gulab Jamun",Andhra,400
"121, Cross, Banashankari, Bangalore",Punjabi Kitchen 121,Yes,No,NEW,457,080 43076284,Banashankari,Casual Dining,,"Andhra, Bakery",600
"58, Cross, Basavanagudi, Bangalore",Spice Bistro 122,Yes,No,3.2/5,419,080 41478785,Basavanagudi,Bakery,,"Biryani, South Indian, Fast Food",350
"42, Ring Road, Whitefield, Bangalore",Punjabi House 123,Yes,No,4.4/5,459,080 46897617,Whitefield,Casual Dining,"Idli, Pasta, Masala Dosa","Continental, Chinese, Fast Food",350
"159, Ring Road, Electronic City, Bangalore",Grand Bar & Grill 124,No,Yes,2.9/5,133,080 42850361,Electronic City,Quick Bites,"Gulab Jamun, Chocolate Brownie","Bakery, Thai, Andhra",300
"153, Cross, Jayanagar, Bangalore",Red Point 125,No,No,4.4/5,784,080 43054805,Jayanagar,Bar,"Butter Chicken, Momos",Andhra,"1,100"
"118, Cross, Banashankari, Bangalore",Blue Junction 126,Yes,Yes,-,1008,080 48493436,Banashankari,Bar,Biryani,"Chinese, North Indian","1,000"
"181, Ring Road, Koramangala, Bangalore",Classic Restaurant 127,Yes,No,3.9/5,67,080 46818958,Koramangala,Casual Dining,"Noodles, Pasta, Momos, Tandoori Chicken","Continental, Mexican",700
"138, Ring Road, Marathahalli, Bangalore",Punjabi Point 128,No,Yes,3.4/5,562,080 40555870,Marathahalli,Casual Dining,Biryani,Continental,650
"151, 1st Block, Banashankari, Bangalore",Spice Bistro 129,Yes,No,3.7/5,37,080 45829782,Banashankari,Pub,"Idli, Biryani, Paneer Butter Masala, Chocolate Brownie","Cafe Food, Biryani, Bakery","1,100"
"89, Ring Road, Marathahalli, Bangalore",Red Bites 130,Yes,No,3.6/5,557,080 47271321,Marathahalli,Delivery,,"Desserts, Thai, Japanese",300
"115, Main Road, Koramangala, Bangalore",Spice Bar & Grill 131,No,No,3.6/5,80,080 48027048,Koramangala,Quick Bites,,"Japanese, Italian",450
"128, Ring Road, Sarjapur Road, Bangalore",Curry Bites 132,Yes,No,3.8/5,344,080 47806121,Sarjapur Road,Cafe,"Sandwiches, Chocolate Brownie, Paneer Butter Masala, Burgers","Street Food, Desserts, Andhra",450
"192, Ring Road, Koramangala, Bangalore",Urban Bistro 133,Yes,No,3.8/5,321,080 41509931,Koramangala,Quick Bites,Butter Chicken,Biryani,450
"68, Ring Road, Banashankari, Bangalore",Urban Kitchen 134,No,No,3.9/5,185,080 45195807,Banashankari,Casual Dining,Butter Chicken,Mexican,650
"50, 1st Block, Indiranagar, Bangalore",Grand Kitchen 135,Yes,No,4.1/5,241,080 47467316,Indiranagar,Delivery,"Filter Coffee, Idli, Noodles","Fast Food, Japanese, Bakery",450
"39, Cross, Hebbal, Bangalore",The Bites 136,Yes,No,3.8/5,168,080 47221091,Hebbal,Casual Dining,"Pizza, Gulab Jamun","Mexican, Biryani",350
"167, 2nd Stage, Electronic City, Bangalore",Grand Kitchen 137,No,Yes,4.0/5,39,080 44112031,Electronic City,Food Court,"Thali, Chocolate Brownie",Mexican,250
"191, Cross, Indiranagar, Bangalore",Urban Corner 138,Yes,No,4.3/5,19,080 49093759,Indiranagar,Delivery,"Idli, Waffles, Sandwiches","BBQ, Desserts, Andhra",350
"165, 2nd Stage, Indiranagar, Bangalore",Urban Junction 139,Yes,No,4.3/5,98,080 47166226,Indiranagar,Quick Bites,"Pizza, Gulab Jamun, Cold Coffee","Mexican, Thai",400
"113, 1st Block, Bellandur, Bangalore",Royal Express 140,No,No,4.1/5,40,080 44091145,Bellandur,Delivery,Pizza,Cafe Food,450
"25, 1st Block, Jayanagar, Bangalore",The Villa 141,No,Yes,3.6/5,120,080 45009831,Jayanagar,Fine Dining,"Filter Coffee, Pasta","Beverages, Bakery","1,950"
"197, 1st Block, Koramangala, Bangalore",Classic Diner 142,Yes,No,3.9/5,214,080 42351438,Koramangala,Delivery,Sandwiches,"Italian, Andhra",400
"60, Cross, Banashankari, Bangalore",Local Bites 143,Yes,No,3.8/5,177,080 42472565,Banashankari,Cafe,"Noodles, Chocolate Brownie, Tandoori Chicken",Beverages,700
"178, Ring Road, BTM, Bangalore",The Kitchen 144,Yes,No,3.7/5,151,080 45177553,BTM,Delivery,"Chicken Wings, Masala Dosa",Biryani,350
"189, Cross, Koramangala, Bangalore",Royal House 145,No,No,3.6/5,168,080 40329360,Koramangala,Cafe,"Chicken Wings, Idli, Sandwiches, Thali","South Indian, Japanese",650
"198, Cross, Rajajinagar, Bangalore",Spice Corner 146,No,No,4.1/5,72,080 48164056,Rajajinagar,Dessert Parlor,"Burgers, Biryani, Butter Chicken","Street Food, Andhra",350
"48, 2nd Stage, MG Road, Bangalore",Curry Villa 147,Yes,Yes,3.5/5,228,080 46918850,MG Road,Cafe,Gulab Jamun,Desserts,350
"49, 2nd Stage, Electronic City, Bangalore",Green Point 148,No,No,4.2/5,166,080 42775085,Electronic City,Kiosk,,"Thai, Beverages",150
"175, Ring Road, Banashankari, Bangalore",The Bar & Grill 149,Yes,No,4.0/5,66,080 40540543,Banashankari,Casual Dining,"Noodles, Burgers",Mughlai,800
"87, 1st Block, Electronic City, Bangalore",Curry Villa 150,Yes,No,3.7/5,164,080 43807219,Electronic City,Quick Bites,"Paneer Butter Masala, Filter Coffee, Momos",Mexican,400
"196, 1st Block, Electronic City, Bangalore",Grand House 151,Yes,No,4.2/5,101,080 44578973,Electronic City,Quick Bites,"Idli, Chicken Wings","Mexican, Fast Food",350
"33, Main Road, Whitefield, Bangalore",Royal Restaurant 152,No,Yes,3.7/5,117,080 41248721,Whitefield,Delivery,"Thali, Chocolate Brownie","Thai, Desserts, Mughlai",250
"25, Cross, Basavanagudi, Bangalore",Curry Cafe 153,Yes,Yes,4.8/5,889,080 44200835,Basavanagudi,Casual Dining,"Pizza, Sandwiches, Chicken Wings","Thai, BBQ",400
"199, 1st Block, Yelahanka, Bangalore",The Bistro 154,No,No,3.8/5,348,080 47781388,Yelahanka,Casual Dining,"Tandoori Chicken, Sandwiches, Thali, Cold Coffee","Thai, Street Food",550
"142, Main Road, JP Nagar, Bangalore",Spice Cafe 155,No,No,-,210,080 43215840,JP Nagar,Quick Bites,Idli,Beverages,500
